pkg,size_mb,forkevent_pre,pullrequestevent_pre,pushevent_pre,releaseevent_pre,watchevent_pre,issues_opened_pre,issues_closed_pre
bw-graph-tools,,,,,,,,
bw-temporalis,,,,,,,,
cake-utils-pkg-poorva278,0.1396484375,56.0,10.0,2.0,0.0,170.0,4.0,2.0
call-args,0.0087890625,0.0,0.0,4.0,0.0,0.0,0.0,0.0
camerahub-tagger,0.1083984375,0.0,39.0,31.0,17.0,0.0,19.0,16.0
casc,0.0341796875,0.0,0.0,18.0,0.0,0.0,0.0,0.0
cashman,0.013671875,0.0,0.0,14.0,0.0,0.0,0.0,0.0
catalyst-lib,0.056640625,0.0,0.0,9.0,3.0,0.0,0.0,0.0
ccache-download-redis,0.07421875,0.0,3.0,17.0,0.0,0.0,0.0,0.0
ccqppy,0.1015625,1.0,4.0,36.0,1.0,1.0,0.0,0.0
chapsnap,0.03515625,0.0,0.0,33.0,2.0,7.0,3.0,0.0
chatllm,10.2685546875,2.0,0.0,41.0,0.0,31.0,2.0,5.0
chinese-webtext-spider,58.85546875,0.0,9.0,13.0,0.0,0.0,0.0,0.0
chowlk-unofficial-fork,22.2470703125,0.0,0.0,8.0,1.0,0.0,0.0,0.0
chromoscope,286.1083984375,0.0,22.0,61.0,0.0,2.0,6.0,4.0
classconfig,0.0283203125,0.0,0.0,5.0,0.0,0.0,0.0,0.0
clenv,0.0087890625,0.0,0.0,4.0,1.0,0.0,0.0,0.0
client-gpt,6.5224609375,0.0,1.0,20.0,0.0,0.0,0.0,0.0
cloudflare-images,1.130859375,0.0,0.0,14.0,1.0,0.0,0.0,0.0
cloudflarestatus,0.0361328125,0.0,0.0,7.0,4.0,1.0,0.0,0.0
cobweb-lnx,,,,,,,,
code-bert-score,25.017578125,4.0,2.0,19.0,4.0,48.0,2.0,0.0
code-eval-score,0.400390625,0.0,0.0,1.0,0.0,0.0,0.0,0.0
code-genie,0.5927734375,3.0,18.0,23.0,0.0,9.0,1.0,1.0
coix,0.1025390625,0.0,3.0,11.0,0.0,6.0,0.0,0.0
colinote,0.0146484375,0.0,10.0,9.0,0.0,6.0,1.0,1.0
colorfultxt,0.1396484375,56.0,10.0,2.0,0.0,170.0,4.0,2.0
complex-network-link-prediction,0.7744140625,0.0,99.0,171.0,0.0,5.0,18.0,23.0
conplex-dti,1.6318359375,0.0,30.0,49.0,1.0,1.0,1.0,0.0
coppyr,0.0576171875,0.0,0.0,18.0,0.0,0.0,0.0,0.0
cosmopower-jax,40.8740234375,0.0,0.0,9.0,0.0,8.0,0.0,0.0
cpchecker,0.1396484375,56.0,10.0,2.0,0.0,170.0,4.0,2.0
crossmark-jotform-api,0.0458984375,0.0,0.0,15.0,0.0,0.0,0.0,0.0
cset,0.4501953125,1.0,65.0,107.0,9.0,2.0,4.0,5.0
cv2-collage-v2,0.021484375,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cvaugmentor,2.837890625,0.0,0.0,40.0,0.0,0.0,0.0,0.0
daisy-llm,7.0859375,0.0,0.0,7.0,0.0,0.0,6.0,0.0
datarig,1.322265625,0.0,0.0,28.0,0.0,0.0,0.0,0.0
datatable-faker,0.021484375,0.0,0.0,12.0,1.0,0.0,0.0,0.0
dbt-odps,0.884765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dech,0.0966796875,0.0,0.0,2.0,0.0,0.0,0.0,0.0
deep-vars,0.0146484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepfastvision,2.7080078125,0.0,0.0,0.0,0.0,6.0,0.0,0.0
deepsea,200.2568359375,1.0,3.0,7.0,1.0,1.0,0.0,0.0
deltatopic,20.5341796875,0.0,2.0,37.0,0.0,1.0,0.0,0.0
deltatorch,,,,,,,,
dendromatics,5.017578125,0.0,11.0,27.0,0.0,1.0,0.0,0.0
dfm-tools,130.0712890625,4.0,116.0,720.0,1.0,9.0,65.0,64.0
dghs-imgutils,168.5234375,0.0,26.0,232.0,2.0,1.0,0.0,0.0
dictf,0.0126953125,0.0,2.0,2.0,1.0,2.0,1.0,0.0
digital-diffeomorphism,1.96875,0.0,0.0,5.0,0.0,3.0,1.0,0.0
digitalassistant,0.00390625,0.0,0.0,1.0,0.0,0.0,0.0,0.0
discake,,,,,,,,
ditchcarbon-python,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diverge,26.234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj-rest-admin,0.05859375,0.0,0.0,6.0,0.0,0.0,0.0,0.0
django-database-cipher,0.0078125,0.0,2.0,4.0,1.0,1.0,0.0,0.0
django-import-export-extensions,0.087890625,0.0,4.0,23.0,0.0,15.0,0.0,0.0
django-ns-ratelimit,0.01953125,0.0,0.0,8.0,0.0,0.0,0.0,0.0
django-project-panel,0.033203125,0.0,0.0,9.0,0.0,0.0,0.0,0.0
django-rest-commons,0.029296875,0.0,0.0,8.0,0.0,3.0,0.0,0.0
django-sphinx-hosting,4.3525390625,0.0,0.0,18.0,0.0,2.0,0.0,0.0
django-tag-fields,,,,,,,,
django-tenants-schemas,0.611328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
django-tsp,,,,,,,,
doc-to-readme,0.580078125,0.0,2.0,149.0,4.0,1.0,11.0,7.0
docamr,0.185546875,0.0,7.0,4.0,0.0,5.0,0.0,0.0
dpipes,0.951171875,0.0,0.0,13.0,2.0,0.0,0.0,0.0
dreamai-pdf,0.5283203125,0.0,0.0,14.0,0.0,0.0,0.0,0.0
drf-nested-browsable,0.0322265625,0.0,0.0,8.0,0.0,0.0,0.0,0.0
drifting,,,,,,,,
durabletask,0.15625,1.0,14.0,20.0,0.0,6.0,2.0,0.0
dustpylib,,,,,,,,
easy-ernie,0.0166015625,0.0,0.0,13.0,2.0,4.0,7.0,4.0
easy-hmac,,,,,,,,
easyai-sdwebui-api,13.029296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echo-logger,,,,,,,,
empirical-init,0.0107421875,0.0,0.0,3.0,0.0,0.0,0.0,0.0
encoded-core,0.306640625,0.0,1.0,8.0,0.0,0.0,0.0,0.0
enerbitdso,0.0185546875,0.0,0.0,6.0,4.0,0.0,0.0,0.0
epcrawler,0.025390625,0.0,0.0,6.0,0.0,0.0,0.0,0.0
ethconnect,,,,,,,,
ethhelper,0.3798828125,0.0,0.0,31.0,24.0,1.0,0.0,0.0
evaluateqa,0.0078125,0.0,0.0,1.0,0.0,0.0,0.0,0.0
evoluzo,0.1396484375,56.0,10.0,2.0,0.0,170.0,4.0,2.0
exam-analyzer,0.0166015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
explainability-challenges,16.904296875,0.0,0.0,83.0,1.0,0.0,0.0,0.0
ezfinpy,0.0166015625,0.0,0.0,10.0,0.0,1.0,0.0,0.0
face-crop-plus,2.3203125,0.0,0.0,16.0,5.0,1.0,1.0,1.0
fancybbox,0.0087890625,0.0,0.0,6.0,0.0,1.0,0.0,0.0
fastshermanmorrison-pulsar,0.0146484375,0.0,0.0,6.0,0.0,0.0,0.0,0.0
fhirsearchhelper,0.021484375,0.0,0.0,3.0,1.0,0.0,0.0,0.0
fileaccess,0.0087890625,0.0,0.0,5.0,0.0,0.0,0.0,0.0
fileup,0.025390625,0.0,1.0,12.0,4.0,0.0,0.0,0.0
findsystemfontsfilename,,,,,,,,
fineslice,0.0419921875,0.0,0.0,7.0,0.0,0.0,0.0,0.0
firebase-functions,0.3115234375,6.0,92.0,102.0,1.0,31.0,22.0,18.0
fitransit,0.443359375,0.0,0.0,3.0,0.0,0.0,0.0,0.0
flask-quick-sql,0.0341796875,0.0,2.0,6.0,3.0,1.0,0.0,0.0
flet-multi-page,0.0234375,0.0,0.0,9.0,2.0,6.0,1.0,0.0
flopsy,0.0302734375,0.0,0.0,10.0,2.0,0.0,1.0,0.0
fluke5440b-async,0.3525390625,0.0,0.0,11.0,2.0,0.0,0.0,0.0
foccoerpy,0.041015625,0.0,31.0,37.0,17.0,0.0,0.0,0.0
foffinf,0.4033203125,0.0,2.0,5.0,0.0,4.0,1.0,1.0
forgedata,0.1962890625,0.0,0.0,2.0,1.0,3.0,0.0,0.0
fraug,22.5390625,0.0,1.0,13.0,1.0,0.0,0.0,1.0
frogmouth,0.56640625,8.0,21.0,42.0,3.0,1274.0,21.0,12.0
frontrunner-sdk,0.5166015625,0.0,20.0,20.0,3.0,2.0,0.0,0.0
fsaccone,,,,,,,,
funcgpt,0.591796875,0.0,0.0,3.0,1.0,0.0,0.0,0.0
fuzzyfiles,0.0283203125,0.0,0.0,3.0,0.0,0.0,0.0,0.0
gbc,0.001953125,0.0,0.0,1.0,0.0,0.0,0.0,0.0
gbs,0.25390625,1.0,2.0,1.0,0.0,0.0,0.0,0.0
gbt-parser,3.8232421875,0.0,0.0,2.0,0.0,0.0,0.0,0.0
gbx,0.001953125,0.0,0.0,1.0,0.0,0.0,0.0,0.0
gearwheels,0.009765625,0.0,0.0,3.0,1.0,0.0,0.0,0.0
genomic-features,5.6767578125,1.0,31.0,58.0,0.0,13.0,6.0,6.0
geocam,0.1162109375,0.0,0.0,33.0,0.0,2.0,0.0,0.0
geoquizzy,0.0107421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
georef-ar-py,0.0048828125,0.0,0.0,3.0,0.0,0.0,0.0,0.0
geosdemo-haoyu,1.3115234375,0.0,0.0,49.0,1.0,0.0,0.0,0.0
geoshaha-haoyu,0.66015625,0.0,0.0,6.0,1.0,0.0,0.0,0.0
getable,0.0185546875,0.0,0.0,5.0,2.0,2.0,0.0,0.0
getroutersconfig,0.0244140625,0.0,0.0,15.0,0.0,0.0,0.0,0.0
gis-conflation-toolchain,0.193359375,0.0,0.0,31.0,0.0,0.0,1.0,0.0
git-notion-pretty,0.0341796875,0.0,0.0,4.0,0.0,0.0,0.0,0.0
goggle0,1.119140625,0.0,0.0,5.0,1.0,0.0,0.0,0.0
golem-gpt,0.115234375,1.0,4.0,25.0,0.0,9.0,0.0,0.0
goxlrutilityapi,0.099609375,0.0,20.0,100.0,13.0,0.0,0.0,0.0
gpt-bot,0.01953125,0.0,0.0,7.0,0.0,1.0,0.0,0.0
gpt-scrapper,0.0205078125,0.0,0.0,1.0,1.0,0.0,0.0,0.0
gpt4free,154.9794921875,0.0,0.0,1.0,0.0,0.0,0.0,0.0
gptop,0.0732421875,0.0,10.0,55.0,2.0,1.0,0.0,0.0
graph-model-parser,0.0107421875,0.0,0.0,4.0,0.0,0.0,0.0,0.0
grappy-lfjv,0.1396484375,56.0,10.0,2.0,0.0,170.0,4.0,2.0
grn-stability-selection,0.0849609375,0.0,0.0,4.0,6.0,0.0,0.0,0.0
grun-js,0.001953125,0.0,0.0,1.0,0.0,0.0,0.0,0.0
gwsnr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hafez,0.2431640625,0.0,0.0,12.0,0.0,0.0,0.0,0.0
hakurei-sqlalchemy-graphqlapi,0.1357421875,0.0,137.0,69.0,0.0,5.0,1.0,0.0
haystack-threshold-node,0.0029296875,0.0,0.0,1.0,0.0,0.0,0.0,0.0
herald-of-completion,2.88671875,0.0,0.0,81.0,3.0,0.0,0.0,0.0
here-polyline-converter,0.4658203125,0.0,0.0,3.0,1.0,1.0,0.0,0.0
here-search-demo,3.015625,0.0,1.0,13.0,7.0,0.0,0.0,0.0
hexapterygon,1.80078125,0.0,0.0,24.0,1.0,3.0,2.0,0.0
hoyo-daily-logins-helper,0.0908203125,8.0,1.0,16.0,0.0,12.0,4.0,2.0
hpsandbox,78.533203125,1.0,6.0,19.0,0.0,0.0,3.0,1.0
htlll-runner,0.0068359375,0.0,0.0,0.0,0.0,2.0,0.0,0.0
htmlpageparser,0.103515625,0.0,0.0,16.0,0.0,1.0,0.0,0.0
huaweicloudsdkmsgsms,64.9794921875,7.0,0.0,17.0,19.0,9.0,2.0,3.0
hugchat,0.06640625,20.0,16.0,26.0,0.0,90.0,6.0,6.0
huggingsimplecuellar-lib,0.1396484375,56.0,10.0,2.0,0.0,170.0,4.0,2.0
humancursor,0.0654296875,0.0,0.0,14.0,1.0,1.0,0.0,0.0
huntflow-api-client,0.26953125,0.0,42.0,147.0,7.0,0.0,0.0,0.0
hydro-tune,1.2919921875,0.0,0.0,17.0,0.0,3.0,0.0,0.0
hydrogibs,0.1162109375,0.0,0.0,21.0,0.0,0.0,0.0,0.0
idgenerators,0.0078125,10.0,1.0,0.0,0.0,14.0,0.0,0.0
ifrappe-bench,30.837890625,62.0,31.0,27.0,4.0,74.0,22.0,12.0
imdbtraktsyncer,0.091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
immunoviewer,11.6484375,0.0,0.0,11.0,2.0,0.0,0.0,0.0
imshowtk,0.05859375,0.0,0.0,15.0,0.0,0.0,0.0,0.0
in-toto-attestation,1.3095703125,11.0,133.0,62.0,1.0,35.0,23.0,24.0
inkt,4.8330078125,0.0,2.0,43.0,2.0,2.0,3.0,1.0
inventronet,0.1494140625,0.0,0.0,23.0,11.0,0.0,0.0,0.0
iso3166-scraper,0.015625,0.0,0.0,3.0,0.0,0.0,0.0,0.0
ja3requests,0.0458984375,0.0,0.0,15.0,2.0,3.0,0.0,0.0
jaaql-monitor,0.056640625,0.0,0.0,9.0,0.0,0.0,0.0,0.0
java-test-genie,2.4580078125,0.0,0.0,7.0,3.0,0.0,0.0,0.0
jawalang,0.046875,0.0,0.0,3.0,0.0,0.0,0.0,0.0
jiggybase,0.0966796875,0.0,0.0,31.0,0.0,5.0,0.0,0.0
json-types,0.0224609375,0.0,8.0,12.0,0.0,0.0,1.0,2.0
jsonclass,0.021484375,0.0,0.0,5.0,0.0,0.0,0.0,0.0
jsonfmt,0.044921875,0.0,0.0,30.0,3.0,1.0,0.0,0.0
jsonvalue2markdown,0.0029296875,0.0,0.0,2.0,0.0,0.0,0.0,0.0
jupyter-pgweb-proxy,0.0166015625,0.0,7.0,9.0,0.0,0.0,0.0,0.0
jupyterhub-backendspawner,0.0615234375,0.0,0.0,17.0,0.0,2.0,0.0,0.0
jurebes,0.0849609375,0.0,0.0,55.0,24.0,3.0,0.0,0.0
kaggle-util,0.0234375,0.0,2.0,9.0,0.0,0.0,0.0,0.0
karcher-home,0.1083984375,0.0,4.0,26.0,8.0,0.0,0.0,0.0
kmdouglass-udesigner,0.037109375,0.0,0.0,13.0,0.0,0.0,0.0,0.0
knowledge-base-search,0.0439453125,0.0,0.0,9.0,0.0,1.0,0.0,0.0
